QUESTION, LATITUDE, LONGITUDE, YEAR, MONTH, LEVEL, COMMENT
The inauguration of the Ram Temple took place in which Indian city?,26.800,82.200,2025,January,1, State: Uttar Pradesh; City: Ayodhya; Sarayu River bank
The Ganga cleaning review summit was held in which city?,25.317,82.973,2025,January,1, State: Uttar Pradesh; City: Varanasi; Ganga river
The Vibrant Gujarat Global Summit was organized in which city?,23.022,72.571,2025,February,1, State: Gujarat; City: Ahmedabad; Sabarmati River
The Aero India show was conducted in which city?,13.198,77.706,2025,February,1, State: Karnataka; City: Bengaluru; Deccan Plateau
The India Energy Week summit was hosted in which coastal state capital?,17.385,78.486,2025,March,2, State: Telangana; City: Hyderabad; Deccan region
The cyclone alert was issued for which city on the Bay of Bengal coast?,13.082,80.270,2025,March,2, State: Tamil Nadu; City: Chennai; Coromandel Coast
The border infrastructure review near Tawang belongs to which state?,27.586,91.859,2025,April,2, State: Arunachal Pradesh; Eastern Himalayas
The Ladakh tourism summit was held in which high-altitude city?,34.152,77.577,2025,April,2, State: Ladakh; City: Leh; Trans-Himalaya
The National Maritime Day event was celebrated in which western coastal city?,18.938,72.835,2025,May,1, State: Maharashtra; City: Mumbai; Arabian Sea coast
The renewable energy park inauguration in Bhadla is located in which state?,27.532,71.902,2025,May,2, State: Rajasthan; Thar Desert
The International Yoga Day main event was held in which city?,30.316,78.032,2025,June,1, State: Uttarakhand; City: Dehradun; Himalayan foothills
The flood emergency declared along Brahmaputra affected which city?,26.144,91.736,2025,June,2, State: Assam; City: Guwahati; Brahmaputra valley
The Smart City award ceremony was conducted in which capital city?,23.259,77.412,2025,July,1, State: Madhya Pradesh; City: Bhopal; Central India
The coastal security drill in Kochi belongs to which state?,9.931,76.267,2025,July,2, State: Kerala; Arabian Sea coast
The International Film Festival was hosted in which coastal city?,15.299,74.124,2025,August,1, State: Goa; Konkan Coast
The G20 education meeting was organized in which city?,28.613,77.209,2025,August,1, State: Delhi; National Capital Region
The India-Australia naval exercise was conducted near which eastern port city?,17.686,83.218,2025,September,2, State: Andhra Pradesh; City: Visakhapatnam; Bay of Bengal
The dam safety review was conducted at Tehri located in which state?,30.379,78.480,2025,September,3, State: Uttarakhand; Tehri Dam; Bhagirathi River
The tribal cultural summit was held in which city?,21.251,81.629,2025,October,2, State: Chhattisgarh; City: Raipur; Central India
The desert festival was celebrated in which border city?,26.915,70.908,2025,October,1, State: Rajasthan; City: Jaisalmer; Thar Desert
The naval dockyard modernization was inaugurated in which city?,16.506,80.648,2025,November,2, State: Andhra Pradesh; City: Vijayawada; Krishna River
The Himalayan glacier research summit was held in which town?,31.104,77.173,2025,November,2, State: Himachal Pradesh; City: Shimla; Western Himalayas
The earthquake preparedness drill was conducted in which northeastern capital?,25.578,91.893,2025,December,2, State: Meghalaya; City: Shillong; Khasi Hills
The river interlinking meeting was held in which city?,21.146,79.088,2026,January,2, State: Maharashtra; City: Nagpur; Central India
The semiconductor plant inauguration took place in which city?,22.307,73.181,2026,January,2, State: Gujarat; City: Vadodara; Western India
The border tourism project was launched in which state capital?,27.331,88.613,2026,February,2, State: Sikkim; City: Gangtok; Eastern Himalayas
The solar energy summit was conducted in which city?,11.016,76.955,2026,February,2, State: Tamil Nadu; City: Coimbatore; Western Ghats
The International Buddhist conclave was organized in which city?,25.436,78.568,2026,March,2, State: Uttar Pradesh; City: Jhansi; Bundelkhand region
The naval base expansion project was announced in which island capital?,11.667,92.735,2026,March,3, State: Andaman and Nicobar Islands; Port Blair; Bay of Bengal
The flood mitigation project in Patna belongs to which state?,25.594,85.137,2026,April,1, State: Bihar; City: Patna; Ganga plain
The industrial corridor meeting was held in which city?,12.971,77.594,2026,April,1, State: Karnataka; City: Bengaluru; Deccan Plateau
The wildlife summit was organized in which city near Gir forest?,21.522,70.457,2026,May,2, State: Gujarat; Gir National Park; Asiatic Lion habitat
The metro rail expansion inauguration occurred in which city?,26.912,75.787,2026,May,1, State: Rajasthan; City: Jaipur; Aravalli region
The Himalayan infrastructure review was held in which city?,29.218,79.513,2026,June,2, State: Uttarakhand; City: Nainital; Kumaon region
The coastal erosion review meeting was conducted in which city?,19.076,72.877,2026,June,2, State: Maharashtra; City: Mumbai; Arabian Sea
The temple corridor inauguration took place in which city?,9.288,79.317,2026,July,2, State: Tamil Nadu; City: Rameswaram; Palk Strait
The agricultural innovation summit was organized in which city?,26.846,80.946,2026,July,1, State: Uttar Pradesh; City: Lucknow; Indo-Gangetic plain
The defense corridor project review was conducted in which city?,27.176,78.008,2026,August,2, State: Uttar Pradesh; City: Agra; Yamuna River
The flood relief operation near Mahanadi affected which city?,20.296,85.824,2026,August,2, State: Odisha; City: Bhubaneswar; East Coast
The green hydrogen mission summit was held in which city?,22.719,75.857,2026,September,2, State: Madhya Pradesh; City: Indore; Central India
The railway expansion inauguration took place in which city?,15.828,78.037,2026,September,2, State: Andhra Pradesh; City: Kurnool; Rayalaseema region
The border security review was conducted in which desert district?,23.733,92.717,2026,October,3, State: Mizoram; Northeast hills
The coastal trade summit was organized in which port city?,8.764,78.134,2026,October,2, State: Tamil Nadu; City: Thoothukudi; Gulf of Mannar
The Smart Port initiative was launched in which eastern metropolis?,22.572,88.363,2026,November,1, State: West Bengal; City: Kolkata; Hooghly River
The river rejuvenation project was reviewed in which temple city?,20.267,85.840,2026,November,2, State: Odisha; City: Bhubaneswar; Eastern Ghats
The Himalayan border review meeting was held in which town?,32.726,74.857,2026,December,2, State: Jammu and Kashmir; City: Jammu; Shivalik range
The space research center expansion was announced in which city?,13.010,80.230,2026,December,2, State: Tamil Nadu; City: Sriharikota; Bay of Bengal coast
