QUESTION, LATITUDE, LONGITUDE, YEAR, MONTH, LEVEL, COMMENT
The newly elected President Claudia Sheinbaum belongs to which country?,19.433,-99.133,2025,January,1,Country: Mexico; State: Mexico City; North America capital
Which country hosted the 2025 World Economic Forum in Davos?,46.802,9.836,2025,January,1,Country: Switzerland; State: Graubunden; Alpine town
The ceasefire talks between Israel and Hamas were held in which country’s capital Doha?,25.286,51.533,2025,February,2,Country: Qatar; State: Doha; Persian Gulf region
The expansion of BRICS in 2025 included Ethiopia located in which region of Africa?,8.980,38.757,2025,February,2,Country: Ethiopia; State: Addis Ababa; Horn of Africa
The Arctic security summit was held in Reykjavik of which country?,64.147,-21.942,2025,March,2,Country: Iceland; State: Reykjavik; North Atlantic island
The eruption of Mount Etna occurred in which European country?,37.751,14.993,2025,March,2,Country: Italy; State: Sicily; Mediterranean volcano
The G20 meeting in Rio de Janeiro was hosted by which country?,-22.906,-43.172,2025,April,1,Country: Brazil; State: Rio de Janeiro; Atlantic coast
The new semiconductor plant announced in Dresden is located in which country?,51.050,13.738,2025,April,2,Country: Germany; State: Saxony; Central Europe
The presidential elections held in Jakarta were conducted in which country?,-6.208,106.845,2025,May,1,Country: Indonesia; State: Jakarta; Southeast Asia
The Indo-Pacific naval exercise conducted near Guam is under which US territory?,13.444,144.793,2025,May,3,Country: USA; State: Guam; Western Pacific island
The peace agreement signed in Juba is located in which country?,4.859,31.571,2025,June,2,Country: South Sudan; State: Juba; Nile basin
The COP30 preparatory meeting was held in Belem of which country?,-1.455,-48.503,2025,June,2,Country: Brazil; State: Para; Amazon delta
The earthquake near Sendai struck which country?,38.268,140.869,2025,July,2,Country: Japan; State: Miyagi; Pacific Ring of Fire
The African Union summit in Addis Ababa belongs to which country?,8.980,38.757,2025,July,1,Country: Ethiopia; State: Addis Ababa; AU headquarters
The new oil discovery in Guyana is located on which continent?,6.801,-58.155,2025,August,2,Country: Guyana; State: Georgetown; South America Atlantic coast
The ASEAN summit held in Vientiane belongs to which country?,17.975,102.633,2025,August,2,Country: Laos; State: Vientiane; Mekong basin
The NATO summit in Washington was hosted in which country?,38.907,-77.037,2025,September,1,Country: USA; State: Washington DC; North America
The wildfire emergency declared in British Columbia occurred in which country?,49.282,-123.120,2025,September,2,Country: Canada; State: British Columbia; Pacific coast
The launch of Artemis mission took place from Cape Canaveral in which country?,28.573,-80.649,2025,October,2,Country: USA; State: Florida; Atlantic coast
The political crisis in Tbilisi occurred in which country?,41.715,44.827,2025,October,2,Country: Georgia; State: Tbilisi; Caucasus region
The new capital Nusantara is being developed in which country?,-0.950,116.650,2025,November,2,Country: Indonesia; State: East Kalimantan; Borneo island
The climate summit in Nairobi was hosted by which country?,-1.292,36.822,2025,November,1,Country: Kenya; State: Nairobi; East Africa plateau
The major floods in Dhaka affected which country?,23.810,90.412,2025,December,1,Country: Bangladesh; State: Dhaka; Ganga Brahmaputra delta
The Red Sea security talks were held in Jeddah of which country?,21.543,39.172,2025,December,2,Country: Saudi Arabia; State: Mecca Province; Red Sea coast
The expansion of Panama Canal trade routes affects which Central American country?,9.080,-79.680,2026,January,2,Country: Panama; State: Panama Canal Zone; Atlantic Pacific link
The presidential inauguration in Taipei belongs to which country?,25.033,121.565,2026,January,2,Country: Taiwan; State: Taipei; East Asia island
The EU summit held in Brussels belongs to which country?,50.850,4.351,2026,February,1,Country: Belgium; State: Brussels; Western Europe
The mining reforms announced in Santiago belong to which country?,-33.448,-70.669,2026,February,2,Country: Chile; State: Santiago; Andes region
The South China Sea talks in Manila belong to which country?,14.599,120.984,2026,March,3,Country: Philippines; State: Manila; Western Pacific
The flood crisis in Jakarta occurred in which country?,-6.208,106.845,2026,March,1,Country: Indonesia; State: Jakarta; Java island
The World Bank meeting in Marrakech belongs to which country?,31.629,-7.981,2026,April,2,Country: Morocco; State: Marrakech; North Africa
